Depth: 0.05, Temp: 29.05, Speed: 0.62
Depth: 0.01, Temp: 20.07, Speed: 0.38
Depth: 2.63, Temp: 26.94, Speed: 4.07
Depth: 8.21, Temp: 27.03, Speed: 1.76
Depth: 8.01, Temp: 27.64, Speed: 1.35
Depth: 6.13, Temp: 21.30, Speed: 2.19
Depth: 0.95, Temp: 21.70, Speed: 13.80
Depth: 0.00, Temp: 28.50, Speed: 1.32
Depth: 0.00, Temp: 29.56, Speed: 17.69
Depth: 7.52, Temp: 28.36, Speed: 1.80
Depth: 7.27, Temp: 27.77, Speed: 3.51
Depth: 5.34, Temp: 27.89, Speed: 2.38
Depth: 2.79, Temp: 28.05, Speed: 2.71
Depth: 0.00, Temp: 21.32, Speed: 2.59
Depth: 0.33, Temp: 26.91, Speed: 0.66
Depth: 0.00, Temp: 21.54, Speed: 3.55
Depth: 0.03, Temp: 24.35, Speed: 0.84
Depth: 0.02, Temp: 21.27, Speed: 5.97
Depth: 0.01, Temp: 25.93, Speed: 9.12
Depth: 0.00, Temp: 27.60, Speed: 7.47
Depth: 0.00, Temp: 21.48, Speed: 10.81
Depth: 0.01, Temp: 24.81, Speed: 2.39
