Depth: 0.34, Temp: 24.08, Speed: 3.83
Depth: 0.70, Temp: 22.91, Speed: 1.67
Depth: 0.26, Temp: 22.72, Speed: 3.69
Depth: 0.10, Temp: 28.30, Speed: 3.36
Depth: 0.05, Temp: 21.34, Speed: 0.71
Depth: 0.63, Temp: 24.43, Speed: 3.52
Depth: 9.22, Temp: 21.80, Speed: 6.61
Depth: 20.06, Temp: 27.10, Speed: 13.50
Depth: 29.45, Temp: 21.02, Speed: 4.44
Depth: 32.10, Temp: 24.44, Speed: 1.61
Depth: 33.42, Temp: 28.87, Speed: 16.08
Depth: 34.62, Temp: 25.46, Speed: 3.63
Depth: 35.89, Temp: 25.36, Speed: 1.54
Depth: 37.35, Temp: 29.21, Speed: 1.53
Depth: 39.75, Temp: 22.97, Speed: 5.72
Depth: 48.70, Temp: 21.33, Speed: 6.43
Depth: 49.00, Temp: 29.14, Speed: 0.00
Depth: 43.49, Temp: 24.14, Speed: 8.69
Depth: 29.62, Temp: 29.47, Speed: 15.65
Depth: 13.89, Temp: 21.44, Speed: 12.61
Depth: 6.53, Temp: 29.99, Speed: 4.45
Depth: 2.92, Temp: 27.80, Speed: 10.95
Depth: 0.00, Temp: 25.41, Speed: 14.72
Depth: 0.32, Temp: 26.54, Speed: 10.35
Depth: 0.07, Temp: 21.08, Speed: 2.40
Depth: 0.07, Temp: 21.81, Speed: 8.30
Depth: 0.00, Temp: 22.25, Speed: 3.17
Depth: 0.01, Temp: 20.64, Speed: 0.80
Depth: 0.01, Temp: 29.53, Speed: 0.23
